timestamp,region,value
2020:2:13:12:39:56,3,0
2020:2:13:12:39:56,0,3
2020:2:13:12:39:56,3,0
2020:2:13:12:39:56,0,3
2020:2:13:12:39:56,3,0
2020:2:13:12:39:56,0,0
2020:2:13:12:39:56,3,10
2020:2:13:12:39:56,0,0
2020:2:13:12:39:56,3,10
2020:2:13:12:39:56,0,0
2020:2:13:12:39:56,3,10
2020:2:13:12:39:56,0,0
2020:2:13:12:39:56,3,10
2020:2:13:12:39:56,0,0
2020:2:13:12:39:56,3,10
2020:2:13:12:39:56,0,0
2020:2:13:12:39:56,3,10
2020:2:13:12:39:56,0,0
2020:2:13:12:39:56,3,10
2020:2:13:12:39:56,0,0
2020:2:13:12:39:56,3,10
2020:2:13:12:39:56,0,0
2020:2:13:12:39:56,3,10
2020:2:13:12:39:56,0,0
2020:2:13:12:39:56,3,10
2020:2:13:12:39:56,0,0
2020:2:13:12:39:56,3,10
2020:2:13:12:39:56,0,0
2020:2:13:12:39:56,3,10
2020:2:13:12:39:57,0,0
2020:2:13:12:39:57,3,10
2020:2:13:12:39:57,0,0
2020:2:13:12:39:57,3,10
2020:2:13:12:39:57,0,0
2020:2:13:12:39:57,3,10
2020:2:13:12:39:57,0,0
2020:2:13:12:39:57,3,10
2020:2:13:12:39:57,0,0
2020:2:13:12:39:57,3,10
2020:2:13:12:39:57,0,0
2020:2:13:12:39:57,3,10
2020:2:13:12:39:57,0,0
2020:2:13:12:39:57,3,10
2020:2:13:12:39:57,0,0
2020:2:13:12:39:57,3,10
2020:2:13:12:39:57,0,0
2020:2:13:12:39:57,3,10
2020:2:13:12:39:57,0,0
2020:2:13:12:39:57,3,10
2020:2:13:12:39:57,0,0
2020:2:13:12:39:57,3,10
2020:2:13:12:39:57,0,0
2020:2:13:12:39:57,3,10
2020:2:13:12:39:57,0,0
2020:2:13:12:39:57,3,10
2020:2:13:12:39:57,0,0
2020:2:13:12:39:57,3,10
2020:2:13:12:39:57,0,0
2020:2:13:12:39:57,3,10
2020:2:13:12:39:57,0,0
2020:2:13:12:39:57,3,10
2020:2:13:12:39:57,0,3
2020:2:13:12:39:57,3,0
2020:2:13:12:39:57,0,3
2020:2:13:12:39:57,3,0
2020:2:13:12:39:57,0,3
2020:2:13:12:39:57,3,0
2020:2:13:12:39:57,0,3
2020:2:13:12:39:57,3,0
2020:2:13:12:39:57,0,0
2020:2:13:12:39:57,3,10
2020:2:13:12:39:57,0,0
2020:2:13:12:39:57,3,10
2020:2:13:12:39:57,0,0
2020:2:13:12:39:57,3,10
2020:2:13:12:39:57,0,0
2020:2:13:12:39:57,3,10
2020:2:13:12:39:57,0,0
2020:2:13:12:39:57,3,10
2020:2:13:12:39:57,0,0
2020:2:13:12:39:57,3,10
2020:2:13:12:39:57,0,0
2020:2:13:12:39:57,3,10
2020:2:13:12:39:57,0,0
2020:2:13:12:39:57,3,10
2020:2:13:12:39:57,0,0
2020:2:13:12:39:57,3,10
2020:2:13:12:39:57,0,0
2020:2:13:12:39:57,3,10
2020:2:13:12:39:57,0,0
2020:2:13:12:39:57,3,10
2020:2:13:12:39:57,0,0
2020:2:13:12:39:57,3,10
2020:2:13:12:39:57,0,0
2020:2:13:12:39:57,3,10
2020:2:13:12:39:57,0,0
2020:2:13:12:39:57,3,10
